stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
"120001","120001","Capolinea Via  Piandanna (Uff. delle entrate)","","40.7155942","8.5418894",""
"120002","120002","Via Piandanna Fr. civico 10","","40.7163862","8.5439914",""
"120003","120003","Via  delle Croci (Lato P.le Chiesa di S.Pietro)","","40.7190497","8.5500946",""
"120004","120004","Via  delle Croci civico 3","","40.7185256","8.5520044",""
"120005","120005","Via Rockefeller civico 18","","40.7163847","8.5528002",""
"120006","120006","Viale Italia civico 53","","40.7161808","8.553654",""
"120007","120007","Via Rockfeller (Vic. CGIL)","","40.7141552","8.5540109",""
"120008","120008","Via Rockfeller civico 37","","40.712939","8.5563513",""
"120009","120009","Via  Rizzeddu angolo Via  Venezia (Lato Gardini)","","40.7122981","8.5607123",""
"120010","120010","Via  Rizzeddu Fr. civico 21","","40.7137043","8.5609399",""
"120011","120011","Via  Rizzeddu civico 26","","40.715597","8.5611761",""
"120012","120012","Via  Amendola civico 23","","40.7187556","8.5602673",""
"120013","120013","Via  Amendola civico 17","","40.7195793","8.5589239",""
"120014","120014","Via  Caniga civico 7 (ATP)","","40.7258738","8.5443648",""
"120015","120015","Via Caniga civico 1","","40.727703","8.5467799",""
"120016","120016","Corso  Reg. Margherita di Savoia Civico 15","","40.7238914","8.5605058",""
"120017","120017","Corso  Regina Margherita di Savoia Arcivescovado","","40.725278","8.557939",""
"120018","120018","Corso  Vico civico 9","","40.7272944","8.5552139",""
"120019","120019","Corso  Vico civico 37","","40.7294123","8.5554248",""
"120020","120020","Via  Bogino Civico 50","","40.7322259","8.5585325",""
"120021","120021","Via  Deledda civico 13","","40.7330758","8.5617244",""
"120022","120022","Via  Deledda civico 61","","40.7332541","8.5635944",""
"120023","120023","Via  Deledda civico 97","","40.7341006","8.5659101",""
"120024","120024","Via  Deledda civico 133","","40.7352561","8.5689344",""
"120025","120025","Via  Deledda civico 145","","40.735947","8.5706235",""
"120026","120026","Via  Deledda civico 163","","40.7367561","8.5725843",""
"120027","120027","Via  Prati Fr. civico 50","","40.7379613","8.5720792",""
"120028","120028","Via  Prati Fr. civico 8","","40.738263","8.5684176",""
"120029","120029","Via  Prati (Lato Coop. Ferrovieri)","","40.7386031","8.5654189",""
"120030","120030","Via  Ossi Fr. civico 3","","40.7379776","8.5643926",""
"120031","120031","Via  Poligono Fr. Autoparco","","40.7373152","8.5631178",""
"120032","120032","Via  Baldedda (Lato Guardia di Finanza)","","40.738495","8.563039",""
"120033","120033","Via  Baldedda Fr. Civico 14","","40.7401922","8.5639873",""
"120034","120034","Via  Baldedda civico 17","","40.741709","8.5648657",""
"120035","120035","Capolinea Via  Baldedda","","40.7429822","8.5656628",""
"120036","120036","Via  Baldedda Fr. civico 17","","40.7417812","8.5649126",""
"120037","120037","Via  Baldedda civico 14","","40.7401651","8.5639756",""
"120038","120038","Via  Baldedda Fr. Guardia di Finanza","","40.7386846","8.5631444",""
"120039","120039","Via  Poligono (Lato autoparco)","","40.7373156","8.5632244",""
"120040","120040","Via  Ossi civico 3","","40.7380047","8.5644043",""
"120041","120041","Via  Prati (Fr. Coop Ferrovieri)","","40.7385046","8.5655854",""
"120042","120042","Via  Prati civico 8","","40.7380663","8.5688097",""
"120043","120043","Via  Prati civico 50","","40.7378807","8.5721981",""
"120044","120044","Via  Deledda Fr. civico 163","","40.7368378","8.5727614",""
"120045","120045","Via  Deledda Fr. civico 145","","40.7361197","8.5710369",""
"120046","120046","Via  P. Micca civico 86","","40.7351393","8.5666139",""
"120047","120047","Via  P. Micca civico 66","","40.7346086","8.5644501",""
"120048","120048","Via  P. Micca civico 40","","40.7345925","8.562579",""
"120049","120049","Via  Pascoli civico 8","","40.7326047","8.5610051",""
"120050","120050","Corso  Trinità Civico 53","","40.730384","8.5598118",""
"120051","120051","Corso  Trinità Civico 195","","40.7310794","8.5579125",""
"120052","120052","Piazza S. Antonio (Intergremio)","","40.7301254","8.5558109",""
"120053","120053","Piazza Stazione (Giardinetti)","","40.7291766","8.5550474",""
"120054","120054","Piazza S. Maria (Lato Chiesa)","","40.7265449","8.5547334",""
"120055","120055","Viale Mancini civico 7","","40.7236503","8.5587076",""
"120056","120056","Viale Italia civico 1","","40.7223845","8.5598527",""
"120057","120057","Viale Italia Fr. Upim","","40.7208017","8.5582173",""
"120058","120058","Via  Amendola civico 18","","40.7188272","8.5601484",""
"120059","120059","Via  Turati Civico 28","","40.7177718","8.5597883",""
"120060","120060","Via  Monte Grappa Fr. civico 5","","40.7166185","8.5597367",""
"120061","120061","Via  Rizzeddu Fr. civico 26","","40.715597","8.5611761",""
"120062","120062","Via  Rizzeddu civico 21","","40.7138936","8.5609741",""
"120063","120063","Via  Rizzeddu angolo Via  Venezia (Lato Osped.)","","40.7121899","8.5606893",""
"120064","120064","Via  Rockfeller Fr. civico 37","","40.7131642","8.556338",""
"120065","120065","Via  Rockfeller civico 40","","40.7144248","8.5538315",""
"120066","120066","Viale Italia civico 74","","40.7162079","8.5536775",""
"120068","120068","Via  delle Croci Fr. civico 3","","40.7185168","8.55204",""
"120069","120069","Via  delle Croci (P.le Chiesa di S.Pietro)","","40.7190586","8.5500591",""
"120070","120070","Via  delle Croci civico 12","","40.719601","8.548232",""
"120071","120071","Via  Deledda alta (Lato Recinzione Ist. Prof.Art.","","40.7377193","8.5748521",""
"120072","120072","Via  Deledda alta Fr.(Ist. Prof: Art.)","","40.7377284","8.5748639",""
"120073","120073","Via  Caniga civico 4","","40.727378","8.5466045",""
